id,description_nl,normalized_description,label,attack_type,attack_family,severity,rule,rule_valid_by_parser,rule_validation_errors,option_coverage,source_name,source_url,source_usage,generation_method,log_example
SNORT-RAG-0011,"Student scenario: Détecter un balayage de ports TCP vers un serveur interne. Keywords: scan, syn scan. Need a valid alert rule.","student scenario: détecter un balayage de ports tcp vers un serveur interne. keywords: scan, syn scan. need a valid alert rule.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9140629; rev:2;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0012,"FR: A host sends many SYN packets to several ports on $HOME_NET. The rule must use msg, sid, rev and classtype.","fr: a host sends many syn packets to several ports on $home_net. the rule must use msg, sid, rev and classtype.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9800983; rev:3;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0013,Short operator query: Detect repeated SSH login attempts against port 22. Target: Windows RDP server. Include a Snort rule with low false positives.,short operator query: detect repeated ssh login attempts against port 22. target: windows rdp server. include a snort rule with low false positives.,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9282031; rev:1;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0014,Short operator query: Detect repeated SSH login attempts against port 22. Observed log: SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s,short operator query: detect repeated ssh login attempts against port 22. observed log: src=198.51.100.23 dst=10.0.0.22 dpt=22 proto=tcp attempts=12 window=60s,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9106846; rev:2;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0015,"Short operator query: Detect repeated SSH login attempts against port 22. Keywords: bruteforce, brute force. Need a valid alert rule.","short operator query: detect repeated ssh login attempts against port 22. keywords: bruteforce, brute force. need a valid alert rule.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9419209; rev:3;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0016,"FR: Détecter une attaque brute force SSH sur un serveur Linux. The rule must use msg, sid, rev and classtype.","fr: détecter une attaque brute force ssh sur un serveur linux. the rule must use msg, sid, rev and classtype.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9691302; rev:1;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0017,Student scenario: Detect repeated SSH login attempts against port 22. Target: corporate proxy. Include a Snort rule with low false positives.,student scenario: detect repeated ssh login attempts against port 22. target: corporate proxy. include a snort rule with low false positives.,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9436408; rev:2;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0018,Formal analyst request: Détecter une attaque brute force SSH sur un serveur Linux. Observed log: SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s,formal analyst request: détecter une attaque brute force ssh sur un serveur linux. observed log: src=198.51.100.23 dst=10.0.0.22 dpt=22 proto=tcp attempts=12 window=60s,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9311287; rev:3;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0019,"Short operator query: An external client is brute forcing SSH authentication. Keywords: ssh, bruteforce. Need a valid alert rule.","short operator query: an external client is brute forcing ssh authentication. keywords: ssh, bruteforce. need a valid alert rule.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9547597; rev:1;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0020,"SOC alert description: Détecter une attaque brute force SSH sur un serveur Linux. The rule must use msg, sid, rev and classtype.","soc alert description: détecter une attaque brute force ssh sur un serveur linux. the rule must use msg, sid, rev and classtype.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9552801; rev:2;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0021,SOC alert description: Détecter une attaque brute force SSH sur un serveur Linux. Target: corporate proxy. Include a Snort rule with low false positives.,soc alert description: détecter une attaque brute force ssh sur un serveur linux. target: corporate proxy. include a snort rule with low false positives.,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9832773; rev:3;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0022,FR: Detect repeated SSH login attempts against port 22. Observed log: SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s,fr: detect repeated ssh login attempts against port 22. observed log: src=198.51.100.23 dst=10.0.0.22 dpt=22 proto=tcp attempts=12 window=60s,malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9059543; rev:1;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0023,"Short operator query: Détecter une attaque brute force SSH sur un serveur Linux. Keywords: bruteforce, 22. Need a valid alert rule.","short operator query: détecter une attaque brute force ssh sur un serveur linux. keywords: bruteforce, 22. need a valid alert rule.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9596245; rev:2;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0024,"Formal analyst request: Détecter une attaque brute force SSH sur un serveur Linux. The rule must use msg, sid, rev and classtype.","formal analyst request: détecter une attaque brute force ssh sur un serveur linux. the rule must use msg, sid, rev and classtype.",malicious,ssh_bruteforce,attempted-admin,high,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""LOCAL SSH BRUTEFORCE detected""; flow:to_server; flags:S; detection_filter:track by_src, count 8, seconds 60; classtype:attempted-admin; sid:9302860; rev:3;)",True,,0.7777777777777778,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.23 DST=10.0.0.22 DPT=22 PROTO=TCP ATTEMPTS=12 WINDOW=60s
SNORT-RAG-0025,Technical note: Detect repeated FTP USER commands suggesting brute force. Target: Linux SSH bastion. Include a Snort rule with low false positives.,technical note: detect repeated ftp user commands suggesting brute force. target: linux ssh bastion. include a snort rule with low false positives.,malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9083336; rev:1;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0026,FR: Multiple FTP login attempts target an internal FTP server. Observed log: SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8,fr: multiple ftp login attempts target an internal ftp server. observed log: src=198.51.100.44 dst=10.0.0.21 dpt=21 payload='user admin' repeated=8,malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9459598; rev:2;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0027,"Technical note: Détecter des tentatives répétées de connexion FTP. Keywords: ftp, USER. Need a valid alert rule.","technical note: détecter des tentatives répétées de connexion ftp. keywords: ftp, user. need a valid alert rule.",malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9143535; rev:3;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0028,"Formal analyst request: Détecter des tentatives répétées de connexion FTP. The rule must use msg, sid, rev and classtype.","formal analyst request: détecter des tentatives répétées de connexion ftp. the rule must use msg, sid, rev and classtype.",malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9086294; rev:1;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0029,Formal analyst request: Detect repeated FTP USER commands suggesting brute force. Target: corporate proxy. Include a Snort rule with low false positives.,formal analyst request: detect repeated ftp user commands suggesting brute force. target: corporate proxy. include a snort rule with low false positives.,malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9885156; rev:2;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0030,Technical note: Détecter des tentatives répétées de connexion FTP. Observed log: SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8,technical note: détecter des tentatives répétées de connexion ftp. observed log: src=198.51.100.44 dst=10.0.0.21 dpt=21 payload='user admin' repeated=8,malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9214443; rev:3;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0031,"SOC alert description: Detect repeated FTP USER commands suggesting brute force. Keywords: 21, ftp. Need a valid alert rule.","soc alert description: detect repeated ftp user commands suggesting brute force. keywords: 21, ftp. need a valid alert rule.",malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9702597; rev:1;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0032,"Student scenario: Détecter des tentatives répétées de connexion FTP. The rule must use msg, sid, rev and classtype.","student scenario: détecter des tentatives répétées de connexion ftp. the rule must use msg, sid, rev and classtype.",malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9864415; rev:2;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
SNORT-RAG-0033,SOC alert description: Multiple FTP login attempts target an internal FTP server. Target: DMZ application. Include a Snort rule with low false positives.,soc alert description: multiple ftp login attempts target an internal ftp server. target: dmz application. include a snort rule with low false positives.,malicious,ftp_bruteforce,attempted-admin,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9520173; rev:3;)",True,,0.8888888888888888,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,SRC=198.51.100.44 DST=10.0.0.21 DPT=21 PAYLOAD='USER admin' REPEATED=8
